address,zipCode,city,state,rent,bed,bath,sqft,rentPerSf,zillowUrl,latitude,longitude,homeType,zestimate,rentZestimate,imageUrl,fips_code,geo_id
"2152 E 61st St #30, Tulsa, OK 74136",74136,Tulsa,OK,1004,2.0,2.0,892.0,1.13,https://zillow.com/apartments/tulsa-ok/greenbriar/5XhzVD/,36.074768,-95.96191,APARTMENT,,,https://photos.zillowstatic.com/fp/7812e66863393afe1631b4f49b943652-p_e.jpg,,
"1311 N Ash Pl #6-637, Owasso, OK 74055",74055,Owasso,OK,1159,2.0,1.0,670.0,1.73,https://zillow.com/apartments/owasso-ok/brookwood-on-86th/5Xt7xS/,36.28013,-95.85316,APARTMENT,,,https://photos.zillowstatic.com/fp/5efbae8a20fc6c148a806329d74131e7-p_e.jpg,,
"2218 E 59th St #1101, Tulsa, OK 74105",74105,Tulsa,OK,949,1.0,1.0,725.0,1.31,https://zillow.com/apartments/tulsa-ok/crossings-at-clairemont/5XhzRG/,36.07732,-95.9595,APARTMENT,,,https://photos.zillowstatic.com/fp/b4788c1c9b5a15b2232da896c6c176e7-p_e.jpg,,
"2842 E 51st St #58A, Tulsa, OK 74105",74105,Tulsa,OK,1150,,,850.0,1.35,https://zillow.com/apartments/tulsa-ok/brittany-square/5XhzPS/,36.087063,-95.94661,APARTMENT,,,https://photos.zillowstatic.com/fp/50279e995fbe56343fdb7d416cf2c60a-p_e.jpg,,
"3901 S Garnett Rd, Tulsa, OK 74146",74146,Tulsa,OK,825,1.0,1.0,680.0,1.21,https://zillow.com/apartments/tulsa-ok/tradewinds-villas/CkBNC3/,36.107174,-95.84989,APARTMENT,,,https://photos.zillowstatic.com/fp/2eb0dba7ecbb170fb9f6c280c367eb18-p_e.jpg,,
"6630 S Peoria Ave, Tulsa, OK 74136",74136,Tulsa,OK,875,1.0,1.0,554.0,1.58,https://zillow.com/apartments/tulsa-ok/silver-sands-luxury-apartments/5XhzWN/,36.067005,-95.97677,APARTMENT,,,https://photos.zillowstatic.com/fp/81489fd236c6dc69d023906f365a7ed7-p_e.jpg,,
"7901 E 31st Ct, Tulsa, OK 74145",74145,Tulsa,OK,1467,,1.0,300.0,4.89,https://zillow.com/apartments/tulsa-ok/tulsa-midtown/ChRThm/,36.117683,-95.88814,APARTMENT,,,https://photos.zillowstatic.com/fp/fdc84ec0ceb36930069d813fd193406a-p_e.jpg,,
"110 N Boston Ave #208, Tulsa, OK 74103",74103,Tulsa,OK,1399,1.0,1.0,852.0,1.64,https://zillow.com/apartments/tulsa-ok/the-flats-on-archer/5YyFhB/,36.157997,-95.9924,APARTMENT,,,https://photos.zillowstatic.com/fp/55d85fbb7c3b179ccd5fdbf0706ba2d2-p_e.jpg,,
"3225 S Winston Ave, Tulsa, OK 74135",74135,Tulsa,OK,750,1.0,1.0,750.0,1.0,https://zillow.com/apartments/tulsa-ok/executive-series/5XhzRs/,36.116188,-95.9232,APARTMENT,,826.0,https://photos.zillowstatic.com/fp/d9d07c8d819eccaec7d810bfdb7e5336-p_e.jpg,,
"1801 S 132nd Pl, Tulsa, OK 74108",74108,Tulsa,OK,1249,3.0,2.0,1000.0,1.25,https://zillow.com/apartments/tulsa-ok/summerstone-duplexes/CjCh32/,36.136696,-95.83015,APARTMENT,,,https://photos.zillowstatic.com/fp/4810988f860985a3e6511f3cd34cb651-p_e.jpg,,
"10 N Greenwood Ave, Tulsa, OK 74120",74120,Tulsa,OK,975,1.0,1.0,,,https://zillow.com/apartments/tulsa-ok/greenarch/5Xj7cP/,36.158928,-95.98579,APARTMENT,,,https://photos.zillowstatic.com/fp/a7f96a457fc72cfe478530e93daa94a6-p_e.jpg,,
"614 S Elwood Ave #203, Tulsa, OK 74119",74119,Tulsa,OK,1295,1.0,1.0,700.0,1.85,https://zillow.com/apartments/tulsa-ok/the-blair-apartments/CkBVyC/,36.148216,-95.994354,APARTMENT,,,https://photos.zillowstatic.com/fp/41fed22ed10e8d175f32d46b88ca990b-p_e.jpg,,
"12824 E 76th St N #1, Owasso, OK 74055",74055,Owasso,OK,1995,3.0,4.0,1561.0,1.28,https://zillow.com/apartments/owasso-ok/copper-trails-townhomes-(coming-soon)/CmLDyt/,36.264057,-95.83147,APARTMENT,,,https://photos.zillowstatic.com/fp/72a04604a8f082d86d9718b0502ef7de-p_e.jpg,,
"508 W Rogers Blvd, Skiatook, OK 74070",74070,Skiatook,OK,795,1.0,1.0,587.0,1.35,https://zillow.com/apartments/skiatook-ok/athens-management-llc/5Z7Ts9/,36.369297,-96.00825,APARTMENT,,,https://photos.zillowstatic.com/fp/0c2cc917c9b3fe5e122d26ce7ed5dfeb-p_e.jpg,,
"1404 E 41st St #93, Tulsa, OK 74105",74105,Tulsa,OK,1100,2.0,1.0,775.0,1.42,https://zillow.com/apartments/tulsa-ok/village-at-brookside/5XhzQx/,36.103924,-95.97296,APARTMENT,,,https://photos.zillowstatic.com/fp/aa427463703aea4114f7e485c5b72412-p_e.jpg,,
"505 W Broadway Ave #15, Broken Arrow, OK 74012",74012,Broken Arrow,OK,1100,2.0,1.0,824.0,1.33,https://zillow.com/apartments/broken-arrow-ok/broadway-apartments-on-rose-district/5ZbSTr/,36.052223,-95.79699,APARTMENT,,,https://photos.zillowstatic.com/fp/ca61189061eb361878ce818d625b0b05-p_e.jpg,,
"1309 E 21st St APT 212, Tulsa, OK 74114",74114,Tulsa,OK,1200,2.0,2.0,925.0,1.3,https://zillow.com/apartments/tulsa-ok/woodward-park-apartments/5ZbChZ/,36.133564,-95.97536,APARTMENT,,,https://photos.zillowstatic.com/fp/eec6367f21f80c5cfb4a26d4b2ef0bbe-p_e.jpg,,
"601 S Elgin Ave, Tulsa, OK 74120",74120,Tulsa,OK,1070,1.0,1.0,610.0,1.75,https://zillow.com/apartments/tulsa-ok/melrose-on-elgin/Ckj5Fd/,36.15218,-95.98436,APARTMENT,,,https://photos.zillowstatic.com/fp/59f26ee76bbfe55487223303d6800e69-p_e.jpg,,
"8530 W 85th St, Tulsa, OK 74131",74131,Tulsa,OK,1325,3.0,2.0,1216.0,1.09,https://zillow.com/apartments/tulsa-ok/hermosa-estates/CmJvcQ/,36.04052,-96.0888,APARTMENT,,,https://photos.zillowstatic.com/fp/81c5fdedbdccbe32ed4d1742564e4a24-p_e.jpg,,
"3342 E 25th St, Tulsa, OK 74114",74114,Tulsa,OK,949,2.0,1.0,800.0,1.19,https://zillow.com/apartments/tulsa-ok/harvard-terrace-apartments/5XhzR5/,36.127193,-95.93693,APARTMENT,,,https://photos.zillowstatic.com/fp/689ad889d7db96e8aa987b988f258a2c-p_e.jpg,,
"202 S 193rd Ave E, Tulsa, OK 74108",74108,Tulsa,OK,1200,3.0,2.0,1200.0,1.0,https://zillow.com/apartments/tulsa-ok/rolling-hills-mhc/CmL4mM/,36.15844,-95.76411,APARTMENT,,,https://photos.zillowstatic.com/fp/869a67d0ce247f4cef54bf6d9035f6a1-p_e.jpg,,
"3342 E 25th St, Tulsa, OK 74114",74114,Tulsa,OK,949,2.0,1.0,800.0,1.19,https://zillow.com/apartments/tulsa-ok/harvard-terrace-apartments/5XhzR5/,36.127193,-95.93693,APARTMENT,,,https://photos.zillowstatic.com/fp/689ad889d7db96e8aa987b988f258a2c-p_e.jpg,,
"1309 E 21st St APT 212, Tulsa, OK 74114",74114,Tulsa,OK,1200,2.0,2.0,925.0,1.3,https://zillow.com/apartments/tulsa-ok/woodward-park-apartments/5ZbChZ/,36.133564,-95.97536,APARTMENT,,,https://photos.zillowstatic.com/fp/eec6367f21f80c5cfb4a26d4b2ef0bbe-p_e.jpg,,
"110 N Boston Ave #208, Tulsa, OK 74103",74103,Tulsa,OK,1399,1.0,1.0,852.0,1.64,https://zillow.com/apartments/tulsa-ok/the-flats-on-archer/5YyFhB/,36.157997,-95.9924,APARTMENT,,,https://photos.zillowstatic.com/fp/55d85fbb7c3b179ccd5fdbf0706ba2d2-p_e.jpg,,
"3225 S Winston Ave, Tulsa, OK 74135",74135,Tulsa,OK,750,1.0,1.0,750.0,1.0,https://zillow.com/apartments/tulsa-ok/executive-series/5XhzRs/,36.116188,-95.9232,APARTMENT,,826.0,https://photos.zillowstatic.com/fp/d9d07c8d819eccaec7d810bfdb7e5336-p_e.jpg,,
"10 N Greenwood Ave, Tulsa, OK 74120",74120,Tulsa,OK,975,1.0,1.0,,,https://zillow.com/apartments/tulsa-ok/greenarch/5Xj7cP/,36.158928,-95.98579,APARTMENT,,,https://photos.zillowstatic.com/fp/a7f96a457fc72cfe478530e93daa94a6-p_e.jpg,,
"614 S Elwood Ave #203, Tulsa, OK 74119",74119,Tulsa,OK,1295,1.0,1.0,700.0,1.85,https://zillow.com/apartments/tulsa-ok/the-blair-apartments/CkBVyC/,36.148216,-95.994354,APARTMENT,,,https://photos.zillowstatic.com/fp/41fed22ed10e8d175f32d46b88ca990b-p_e.jpg,,
"601 S Elgin Ave, Tulsa, OK 74120",74120,Tulsa,OK,1070,1.0,1.0,610.0,1.75,https://zillow.com/apartments/tulsa-ok/melrose-on-elgin/Ckj5Fd/,36.15218,-95.98436,APARTMENT,,,https://photos.zillowstatic.com/fp/59f26ee76bbfe55487223303d6800e69-p_e.jpg,,
"3342 E 25th St, Tulsa, OK 74114",74114,Tulsa,OK,949,2.0,1.0,800.0,1.19,https://zillow.com/apartments/tulsa-ok/harvard-terrace-apartments/5XhzR5/,36.127193,-95.93693,APARTMENT,,,https://photos.zillowstatic.com/fp/689ad889d7db96e8aa987b988f258a2c-p_e.jpg,,
"1309 E 21st St APT 212, Tulsa, OK 74114",74114,Tulsa,OK,1200,2.0,2.0,925.0,1.3,https://zillow.com/apartments/tulsa-ok/woodward-park-apartments/5ZbChZ/,36.133564,-95.97536,APARTMENT,,,https://photos.zillowstatic.com/fp/eec6367f21f80c5cfb4a26d4b2ef0bbe-p_e.jpg,,
"110 N Boston Ave #208, Tulsa, OK 74103",74103,Tulsa,OK,1399,1.0,1.0,852.0,1.64,https://zillow.com/apartments/tulsa-ok/the-flats-on-archer/5YyFhB/,36.157997,-95.9924,APARTMENT,,,https://photos.zillowstatic.com/fp/55d85fbb7c3b179ccd5fdbf0706ba2d2-p_e.jpg,,
"3225 S Winston Ave, Tulsa, OK 74135",74135,Tulsa,OK,750,1.0,1.0,750.0,1.0,https://zillow.com/apartments/tulsa-ok/executive-series/5XhzRs/,36.116188,-95.9232,APARTMENT,,826.0,https://photos.zillowstatic.com/fp/d9d07c8d819eccaec7d810bfdb7e5336-p_e.jpg,,
"10 N Greenwood Ave, Tulsa, OK 74120",74120,Tulsa,OK,975,1.0,1.0,,,https://zillow.com/apartments/tulsa-ok/greenarch/5Xj7cP/,36.158928,-95.98579,APARTMENT,,,https://photos.zillowstatic.com/fp/a7f96a457fc72cfe478530e93daa94a6-p_e.jpg,,
"614 S Elwood Ave #203, Tulsa, OK 74119",74119,Tulsa,OK,1295,1.0,1.0,700.0,1.85,https://zillow.com/apartments/tulsa-ok/the-blair-apartments/CkBVyC/,36.148216,-95.994354,APARTMENT,,,https://photos.zillowstatic.com/fp/41fed22ed10e8d175f32d46b88ca990b-p_e.jpg,,
"601 S Elgin Ave, Tulsa, OK 74120",74120,Tulsa,OK,1070,1.0,1.0,610.0,1.75,https://zillow.com/apartments/tulsa-ok/melrose-on-elgin/Ckj5Fd/,36.15218,-95.98436,APARTMENT,,,https://photos.zillowstatic.com/fp/59f26ee76bbfe55487223303d6800e69-p_e.jpg,,
